road_id;point_id;longitude;latitude
18178006[D30a];610582;8.687776;50.109703
18178006[D30a];61058E;8.687761;50.1096
18888004[D4 (KFZ2)];67857S;8.688234;50.13092
18888004[D4 (KFZ2)];678571;8.687029;50.131237
18888004[D4 (KFZ2)];678572;8.686253;50.131447
18888004[D4 (KFZ2)];67857E;8.686163;50.131477
18384017[D11a (KFZ11)];61879S;8.687624;50.11798
18384017[D11a (KFZ11)];618791;8.687809;50.117825
18384017[D11a (KFZ11)];618792;8.687945;50.11773
18384017[D11a (KFZ11)];61879E;8.68801;50.117653
18888002[D2 (KFZ1)];67858S;8.689018;50.131847
18888002[D2 (KFZ1)];678581;8.687823;50.131767
18888002[D2 (KFZ1)];678582;8.687017;50.131733
18888002[D2 (KFZ1)];678583;8.686119;50.13171
18888002[D2 (KFZ1)];67858E;8.6856785;50.131634
18384003[D20a (KFZ2)];61880S;8.687822;50.115685
18384003[D20a (KFZ2)];618801;8.687694;50.117016
18384003[D20a (KFZ2)];618802;8.687774;50.11713
18384003[D20a (KFZ2)];618803;8.687962;50.117294
18384003[D20a (KFZ2)];61880E;8.688173;50.117466
18885009[D9 (KFZ3)];106280S;8.665841;50.131443
18885009[D9 (KFZ3)];1062801;8.667931;50.13152
18885009[D9 (KFZ3)];1062802;8.668254;50.13154
18885009[D9 (KFZ3)];106280E;8.66846;50.131573
18179006[D30a (Video)];61785S;8.687761;50.1096
18179006[D30a (Video)];617851;8.687731;50.1094
18179006[D30a (Video)];617852;8.687731;50.109375
18179006[D30a (Video)];617853;8.687732;50.109356
18179006[D30a (Video)];617854;8.687736;50.109238
18179006[D30a (Video)];617855;8.687769;50.10813
18179006[D30a (Video)];617856;8.687776;50.107903
18179006[D30a (Video)];617857;8.687786;50.107544
18179006[D30a (Video)];617858;8.687789;50.10747
18179006[D30a (Video)];617859;8.687793;50.107334
18179006[D30a (Video)];61785E;8.687684;50.107235
18367009[D30b (KFZ3)];41768S;8.692551;50.132004
18367009[D30b (KFZ3)];417681;8.693274;50.132042
18367009[D30b (KFZ3)];417682;8.693924;50.132046
18367009[D30b (KFZ3)];41768E;8.694877;50.132107
18864012[D7 (KFZ7)];61042S;8.687633;50.11526
18864012[D7 (KFZ7)];610421;8.6877165;50.11472
18864012[D7 (KFZ7)];610422;8.687863;50.112705
18864012[D7 (KFZ7)];61042E;8.687889;50.112595
18885008[D8 (KFZ5)];106280S;8.665841;50.131443
18885008[D8 (KFZ5)];1062801;8.667931;50.13152
18885008[D8 (KFZ5)];1062802;8.668254;50.13154
18885008[D8 (KFZ5)];106280E;8.66846;50.131573
19110011[D20b (KFZ2)];62079S;8.698935;50.14082
19110011[D20b (KFZ2)];620791;8.699033;50.140896
19110011[D20b (KFZ2)];62079E;8.703475;50.14306
18361006[D4 (KFZ4)];31202S;8.69196;50.121964
18361006[D4 (KFZ4)];31202E;8.69104;50.122063
17377003[D3];61318S;8.665984;50.097935
17377003[D3];613181;8.6674595;50.098694
17377003[D3];613182;8.668395;50.099117
17377003[D3];61318E;8.6686125;50.09921
17790005[D5 (KFZ5)];109521S;8.660627;50.0966
17790005[D5 (KFZ5)];1095211;8.66036;50.09654
17790005[D5 (KFZ5)];1095212;8.659896;50.09631
17790005[D5 (KFZ5)];1095213;8.659161;50.09595
17790005[D5 (KFZ5)];109521E;8.658849;50.095776
18299001[D1 (KFZ1)];65242S;8.674431;50.12352
18299001[D1 (KFZ1)];652421;8.674531;50.12341
18299001[D1 (KFZ1)];652422;8.674893;50.12323
18299001[D1 (KFZ1)];65242E;8.67571;50.123035
18178001[D1];61058S;8.687942;50.110405
18178001[D1];610581;8.687912;50.110172
18178001[D1];610582;8.687776;50.109703
18178001[D1];61058E;8.687761;50.1096
18178008[D40a (Video)];61786S;8.687866;50.107258
18178008[D40a (Video)];617861;8.687793;50.107334
18178008[D40a (Video)];617862;8.687789;50.10747
18178008[D40a (Video)];617863;8.687786;50.107544
18178008[D40a (Video)];617864;8.687776;50.107903
18178008[D40a (Video)];617865;8.687769;50.10813
18178008[D40a (Video)];617866;8.687736;50.109238
18178008[D40a (Video)];617867;8.687732;50.109356
18178008[D40a (Video)];617868;8.687731;50.109375
18178008[D40a (Video)];617869;8.687731;50.1094
18178008[D40a (Video)];61786E;8.687761;50.1096
18299006[D6 (KFZ2)];61960S;8.675245;50.12415
18299006[D6 (KFZ2)];619601;8.675305;50.12401
18299006[D6 (KFZ2)];619602;8.675603;50.123367
18299006[D6 (KFZ2)];61960E;8.67571;50.123035
18299005[D5 (KFZ2)];61960S;8.675245;50.12415
18299005[D5 (KFZ2)];619601;8.675305;50.12401
18299005[D5 (KFZ2)];619602;8.675603;50.123367
18299005[D5 (KFZ2)];61960E;8.67571;50.123035
17378005[D5];74755S;8.667882;50.099953
17378005[D5];747551;8.6680765;50.09967
17378005[D5];747552;8.668538;50.09927
17378005[D5];74755E;8.6686125;50.09921
18383003[D20a (KFZ2)];61880S;8.687822;50.115685
18383003[D20a (KFZ2)];618801;8.687694;50.117016
18383003[D20a (KFZ2)];618802;8.687774;50.11713
18383003[D20a (KFZ2)];618803;8.687962;50.117294
