point_id;road_id
74416E;14029003[D10c (KFZ1)]
105236S;15433001[D1]
1052361;15433001[D1]
1052362;15433001[D1]
1052363;15433001[D1]
105236E;15433001[D1]
106288S;18304026[D19Schleif]
1062881;18304026[D19Schleif]
1062882;18304026[D19Schleif]
1062883;18304026[D19Schleif]
1062884;18304026[D19Schleif]
1062885;18304026[D19Schleif]
106288E;18304026[D19Schleif]
105929S;17402006[D6 (KFZ4)]
105929E;17402006[D6 (KFZ4)]
61786S;18178009[D40b (Video)]
617861;18178009[D40b (Video)]
617862;18178009[D40b (Video)]
617863;18178009[D40b (Video)]
617864;18178009[D40b (Video)]
617865;18178009[D40b (Video)]
617866;18178009[D40b (Video)]
617867;18178009[D40b (Video)]
617868;18178009[D40b (Video)]
617869;18178009[D40b (Video)]
61786E;18178009[D40b (Video)]
105802S;17400006[D6]
1058021;17400006[D6]
1058022;17400006[D6]
1058023;17400006[D6]
105802E;17400006[D6]
106465S;18523003[D10c (KFZ1)]
106465E;18523003[D10c (KFZ1)]
61946S;18885013[D13 (KFZ2)]
619461;18885013[D13 (KFZ2)]
619462;18885013[D13 (KFZ2)]
619463;18885013[D13 (KFZ2)]
619464;18885013[D13 (KFZ2)]
61946E;18885013[D13 (KFZ2)]
105234S;15436005[D5]
1052341;15436005[D5]
1052342;15436005[D5]
105234E;15436005[D5]
105234S;15436004[D4]
1052341;15436004[D4]
1052342;15436004[D4]
105234E;15436004[D4]
107661S;18887013[D40 (KFZ4)]
1076611;18887013[D40 (KFZ4)]
1076612;18887013[D40 (KFZ4)]
1076613;18887013[D40 (KFZ4)]
1076614;18887013[D40 (KFZ4)]
1076615;18887013[D40 (KFZ4)]
1076616;18887013[D40 (KFZ4)]
107661E;18887013[D40 (KFZ4)]
31764S;14029007[D4b (KFZ4)]
317641;14029007[D4b (KFZ4)]
317642;14029007[D4b (KFZ4)]
317643;14029007[D4b (KFZ4)]
317644;14029007[D4b (KFZ4)]
31764E;14029007[D4b (KFZ4)]
33907S;18300005[D5 (KFZ3)]
339071;18300005[D5 (KFZ3)]
33907E;18300005[D5 (KFZ3)]
31764S;14029004[D40a (KFZ4)]
317641;14029004[D40a (KFZ4)]
317642;14029004[D40a (KFZ4)]
317643;14029004[D40a (KFZ4)]
317644;14029004[D40a (KFZ4)]
31764E;14029004[D40a (KFZ4)]
31764S;14029006[D4a (KFZ4)]
317641;14029006[D4a (KFZ4)]
317642;14029006[D4a (KFZ4)]
317643;14029006[D4a (KFZ4)]
317644;14029006[D4a (KFZ4)]
31764E;14029006[D4a (KFZ4)]
74416S;14029010[D6 (KFZ6)]
744161;14029010[D6 (KFZ6)]
744162;14029010[D6 (KFZ6)]
74416E;14029010[D6 (KFZ6)]
61768S;18889007[D5.3]
617681;18889007[D5.3]
617682;18889007[D5.3]
61768E;18889007[D5.3]
61946S;18885012[D12 (KFZ6)]
619461;18885012[D12 (KFZ6)]
619462;18885012[D12 (KFZ6)]
619463;18885012[D12 (KFZ6)]
619464;18885012[D12 (KFZ6)]
61946E;18885012[D12 (KFZ6)]
61927S;18304024[D24]
619271;18304024[D24]
619272;18304024[D24]
61927E;18304024[D24]
106465S;18523013[D5 (KFZ5)]
106465E;18523013[D5 (KFZ5)]
106465S;18523001[D10a (KFZ1)]
106465E;18523001[D10a (KFZ1)]
109255S;18304015[D15]
1092551;18304015[D15]
1092552;18304015[D15]
109255E;18304015[D15]
61786S;18178002[D4 (Video)]
617861;18178002[D4 (Video)]
617862;18178002[D4 (Video)]
617863;18178002[D4 (Video)]
617864;18178002[D4 (Video)]
617865;18178002[D4 (Video)]
617866;18178002[D4 (Video)]
617867;18178002[D4 (Video)]
617868;18178002[D4 (Video)]
617869;18178002[D4 (Video)]
61786E;18178002[D4 (Video)]
62628S;18368009[D7a (KFZ7)]
626281;18368009[D7a (KFZ7)]
626282;18368009[D7a (KFZ7)]
626283;18368009[D7a (KFZ7)]
626284;18368009[D7a (KFZ7)]
626285;18368009[D7a (KFZ7)]
626286;18368009[D7a (KFZ7)]
626287;18368009[D7a (KFZ7)]
626288;18368009[D7a (KFZ7)]
626289;18368009[D7a (KFZ7)]
6262810;18368009[D7a (KFZ7)]
6262811;18368009[D7a (KFZ7)]
6262812;18368009[D7a (KFZ7)]
6262813;18368009[D7a (KFZ7)]
6262814;18368009[D7a (KFZ7)]
6262815;18368009[D7a (KFZ7)]
6262816;18368009[D7a (KFZ7)]
6262817;18368009[D7a (KFZ7)]
