point_id;road;suburb;city_district;city;state_district;state;postcode;country
617571;Eschenheimer Anlage;;Innenstadt;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60318;Deutschland
617572;Eschenheimer Anlage;;Innenstadt;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60318;Deutschland
61757E;Eschenheimer Anlage;;Innenstadt;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60318;Deutschland
105808S;Isenburger Schneise;;Sachsenhausen Süd;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60528;Deutschland
1058081;Isenburger Schneise;;Sachsenhausen Süd;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60528;Deutschland
105808E;Isenburger Schneise;;Sachsenhausen Süd;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60528;Deutschland
61369S;Isenburger Schneise;;Sachsenhausen Süd;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60528;Deutschland
613691;Isenburger Schneise;;Sachsenhausen Süd;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60528;Deutschland
613692;Isenburger Schneise;;Sachsenhausen Süd;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60528;Deutschland
613693;Isenburger Schneise;;Sachsenhausen Süd;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60528;Deutschland
61369E;Isenburger Schneise;;Sachsenhausen Süd;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60528;Deutschland
61878S;Friedberger Landstraße;Nordend Ost;;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60316;Deutschland
618781;Friedberger Landstraße;Nordend Ost;;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60316;Deutschland
61878E;Gaußstraße;Nordend Ost;;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60316;Deutschland
105176S;Westendstraße;Westend Süd;;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60325;Deutschland
1051761;Westendstraße;Westend Süd;;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60325;Deutschland
1051762;Westendstraße;Westend Süd;;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60325;Deutschland
1051763;Westendstraße;Westend Süd;;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60325;Deutschland
105176E;Senckenberganlage;Westend Süd;;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60325;Deutschland
61936S;Eschersheimer Landstraße;Westend Nord;;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60322;Deutschland
619361;Eschersheimer Landstraße;Westend Nord;;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60322;Deutschland
619362;Eschersheimer Landstraße;Westend Nord;;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60322;Deutschland
61936E;Eschersheimer Landstraße;Westend Nord;;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60322;Deutschland
109522S;Theodor-Stern-Kai;;Sachsenhausen Nord;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60596;Deutschland
1095221;Theodor-Stern-Kai;;Sachsenhausen Nord;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60596;Deutschland
1095222;Theodor-Stern-Kai;;Sachsenhausen Nord;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60596;Deutschland
1095223;Theodor-Stern-Kai;;Sachsenhausen Nord;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60596;Deutschland
1095224;Theodor-Stern-Kai;;Sachsenhausen Nord;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60596;Deutschland
109522E;Theodor-Stern-Kai;;Sachsenhausen Nord;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60596;Deutschland
105251S;Friedrich-Ebert-Anlage;Westend Süd;;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60325;Deutschland
1052511;Friedrich-Ebert-Anlage;Westend Süd;;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60325;Deutschland
1052512;Friedrich-Ebert-Anlage;Westend Süd;;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60325;Deutschland
1052513;Friedrich-Ebert-Anlage;Westend Süd;;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60325;Deutschland
1052514;Friedrich-Ebert-Anlage;Westend Süd;;Frankfurt am Main;Regierungsbezirk Darmstadt;Hessen;60325;Deutschland
